,cause,effect
9,A bird hit the engine.,"The pilot turned on the ""fasten seatbelts"" light."
17,Jill won the lawsuit against Acme.,Acme paid Jill's legal fees.
1,It started raining.,The woman who was walking on the street opened her umbrella.
25,Ted went out drinking.,Ted had a hangover.
12,The power was out for days.,The meat spoiled.
10,The milk was left outside the fridge over night.,The man sipped the milk and spit it out.
14,The door was locked.,The man climbed in through the window.
2,A watermelon exploded.,A man was covered in sticky red goo.
24,The floor was wet.,The man sued.
6,The curtains were opened.,Sunlight filled the room.
3,A large object hit the Earth.,The dinosaurs became extinct.
13,The gardener planted a seed.,A flower grew.
16,The man robbed a gas station.,The man went to jail.
