,input,output
27,"is fighting a hostile tender offer by dpc acquisition partners , a group led by new york-based crescott investments associates dataproducts .",dataproducts fighting
324,"was volume only 256.6 million shares , breaking the previous 1989 low of 276.8 million shares recorded oct. 23 .",volume was
192,joined the firm he in 1963 and bought it from the owners the next year .,he joined
331,"said was drawn fresh buying into jaguar after told a british television interviewer that held talks with the luxury auto maker over possible joint ventures the west german company a senior executive of daimler-benz , the auto maker , during the weekend dealers .",dealers said
172,"is hewlett-packard a palo alto , calif. , computer maker .",hewlett-packard is
91,"is also pushing ahead mitsubishi with a controversial plan to redevelop marunouchi into a business center of high-tech buildings , a project budgeted for 30 years and six trillion yen .",mitsubishi pushing
85,"38.5 % is owned it by canadian express , another holding company .",it owned
466,"should do more he to reduce tax rates on wealth and income , in recognition of the fact that yield higher , not lower , revenues those cuts .",he do
441,is that typically about a three-week window .,that is
494,"last october , bought 23 canadian printing plants quebecor from bce inc. , a montreal telecommunications , manufacturing , energy and real estate company .",quebecor bought
481,assumed contained a gene or genes had a critical role in setting off the cancer whose loss the missing piece he .,he assumed
464,did not go as far as could have he he in tax reductions ; indeed combined them he with increases in indirect taxes .,he go
19,"holds 45 % of the franchise , which has operations in aiken , s.c. , and augusta , ga alltel .",alltel holds
145,"in the first nine months , rose 10 % profit to $ 313.2 million , or $ 3.89 a share , from $ 283.9 million , or $ 3.53 a share .",profit rose
457,"within two hours , pledged over $ 400,000 viewers , according to a red cross executive .",viewers pledged
396,could rule as early as today he on the motion seeking a temporary injunction against the dow jones offer .,he rule
436,also say charge too much american companies critics .,critics say
54,"yesterday , announced an agreement to sell its small applied color systems unit to a subsidiary of the swiss company , brauerei eichof ltd armstrong .",armstrong announced
137,was bnl unable to elaborate on were planned to improve controls on its branches abroad what measures by the bank .,bnl was
437,"earlier this year , introduced a much more powerful kanji operating system and a kanji laser printer it .",it introduced
264,"in fact , was ltv the first steelmaker to publicly boost discounts for buyers of cold rolled sheet steel and hot-dipped galvanized sheet steel .",ltv was
321,manufactures data-storage systems for mainframes and minicomputers emc .,emc manufactures
255,"was spun off four years ago intelogic from datapoint , after shortly took control of datapoint mr. edelman .",intelogic spun
387,keep wondering what wanted to say mr. gates we .,we keep
392,and would shift the burden it to prosecutors to disprove that caused any statistical racial disparities discrimination .,it shift
428,analyze the data others .,others analyze
5,but can think we of many reasons to stay out for the foreseeable future and well beyond .,we think
271,"amounted climbing 29 % from 787.02 billion yen sales to 1.011 trillion yen , .",sales amounted
58,"is he 37 , an astronomer with impressive credentials , and something of a genius at making do his bidding computers .",he is
284,"as part of the agreement , said will pay $ 4 million it hunter in exchange for agreements not to compete cilcorp .",cilcorp said
66,"has given a 12 % note for that overdue amount , to be repaid over three years healthcare healthvest .",healthcare given
376,"when spent recently catherine bobar several weeks at the medical center of vermont with a bone infection in her toe , shared a room she just like most patients .",she shared
298,"last week held an auction expecting to pay about 11 million yen for the project hiroshima to pick the contractor , .",hiroshima held
156,"joins he nov. 13 , dissolving his consulting firm , canter , achenbaum associates .",he joins
63,became angry he in return .,he became
377,expects the antibiotic products to be exported to southeast asia and africa mitsui .,mitsui expects
240,"earned $ 10.2 million , or 67 cents a share coast , in the year-ago quarter .",coast earned
60,some nights slept he under his desk .,he slept
293,said might increase the size of the offering ibm to as much as $ 1 billion if is investor demand strong others .,others said
386,notes that stemmed most of the net sales drop from a three-day period following the friday the 13th plunge he .,he notes
372,"might have been considered not long ago hyperinflation that , but endured price increases of almost 200 % argentina in july before bringing down sharply the rate in august and september .",that considered
44,"also has nonvoting preferred shares , which are quoted on the milan stock exchange ifi .",ifi has
37,"feeling the naggings of a culture imperative , promptly signed up i .",i signed
470,believe has left a gaping loophole are exploiting that illegal drug businesses this officials .,officials believe
127,"instead has kept its new stanza a bit smaller than that nissan and cut 6 % the base price ; at $ 11,450 , start yet stanza prices $ 749 below the predecessor model have a more-powerful engine .",nissan kept
375,but says could serve its insured its own facilities for less if were properly equipped they humana .,humana says
16,"stuffing a wad of red man into his cheek , admits has become a slowball the fastball brought he into the majors in 1955 he .",he admits
430,"to transmit charts to branch offices , use a fax machine they .",they use
237,"unless eases soon interest rates the federal reserve to stimulate the economy , could remain disappointing profits .",profits remain
425,but also offers opportunities it ; are well poised to supply the weapons americans .,it offers
413,"but changed that following a resolution from the supreme soviet banning cooperatives from operating in some areas of the economy , and permitting activity in others only if are the cooperatives under contract to the state .",that changed
39,looked i at my watch .,i looked
177,already has finagled a $ 2 billion loan he from the japanese government .,he finagled
151,felled vast timberlands hugo .,hugo felled
332,"was glaxo the biggest gainer , jumping 35 to # 13.78 ( $ 21.72 ) on anticipation of a stock split next week .",glaxo was
408,"fell which added to the selling prices through levels regarded as important support areas , .",prices fell
370,universally believe should know their employer-sponsored benefits workers executives .,executives believe
22,"currently are quoted seats at $ 400,000 bid , $ 425,000 asked .",seats quoted
341,are determined rates by the difference between the purchase price and face value .,rates determined
378,also hopes to enter the u.s. market it .,it hopes
113,is ashurst new to the far east .,ashurst is
231,rose 4.8 % it for the 12 months ended in june and 4.7 % in the 12 months ended in september 1988 .,it rose
320,"at giant bicycle inc. , rancho dominguez , calif. , have tripled sales since entered the u.s. mountain-bike business the company in 1987 .",sales tripled
399,"flickered on and off lights ; dropped plaster from the ceiling , still shook the walls and blared outside an evacuation alarm .",lights flickered
480,"say appears crucial to the development of such scourges as cancer of the brain , the skin , kidney , prostate , and cervix the inactivation of tumor-suppressor genes , alone or in combination , researchers .",researchers say
10,"said is experimenting the company with the technique on alfalfa , and plans to include cotton and corn , among other crops he .",he said
438,just last year started selling its first machine that could run in both japanese and english and that substantially enhances compatibility with its american products ibm .,ibm started
478,"to date , have fingered two of these cancer-suppressors scientists .",scientists fingered
195,"said would be recorded the gain in its fourth quarter , which ended yesterday paramount .",paramount said
499,"yesterday , in documents filed in connection with that case , accused sony officials warner of falsely claiming that never read the five-year contract requiring the two producers to make movies exclusively for columbia they , citing securities and exchange commission filings made by sony that described the contracts .",warner accused
218,"closed down $ 2.50 georgia-pacific , at $ 50.875 in big board trading .",georgia-pacific closed
40,a whole morning of ballooning and had been off the ground i barely 30 minutes .,i been
161,increased 20 % revenue to $ 246.6 million from $ 204.8 million .,revenue increased
439,"is not only this because it kills the unborn , a job at which actually is it not outstandingly efficient , zapping only 50 % to 85 % of them depending on read which study you ( , taken in conjunction with the pill , boosts the rate prostaglandin to 95 % ) .",this is
13,these days hustles he to house-painting jobs in his chevy pickup before and after training with the tropics .,he hustles
33,said had stopped being a major source of price pressure summer drought problems that had hit several southern agricultural regions in september he .,he said
357,"scared brokers it , but survived most .",it scared
118,"is this corporate glasnost a big reason , after years of making lackluster cars and lousy profits , has loosened up its rigid ways nissan and now is riding a string of hits , ranging from the sleek maxima sedan and porsche-like 300zx to the whimsically nostalgic pao , a minicar sold only in japan .",nissan loosened
385,"but if are excluded reinvested dividends , put in only $ 340 million more than pulled out they for the month investors .",investors put
79,may not come that as a surprise to americans who have watched snap up properties in the u.s. from golf courses to a stake in rockefeller center the japanese .,that come
12,"midmorning , dons an orange-and-blue uniform he and , for fun , may field a bunt from dave kingman .",he dons
94,"but may amount it to little more than posturing ; have continued on-again , off-again settlement talks the two over the last few weeks , and say could be resolved the matter within a week people familiar with the talks .",it amount
455,filed ltv for protection under chapter 11 in federal bankruptcy court in 1986 .,ltv filed
379,suspended its common distribution nrm in june 1988 and the distribution on its $ 2 cumulative convertible acquisition preferred units in september .,nrm suspended
188,said will also repeal the 1 % transaction tax on the first-time purchase of stakes in companies the government he .,he said
154,"in a statement to employees , said was the company disappointed by the ruling eastern .",eastern said
219,"based on 1988 sales , ranked third georgia-pacific at $ 9.51 billion , behind weyerhaeuser co. at $ 10 billion and international paper co. at $ 9.53 billion .",georgia-pacific ranked
452,said ford should return the cars owners to dealers so can be removed the windshields and securely reinstalled .,ford said
193,"rose $ 3.40 hogs to $ 46.80 a hundredweight in october , while slipped 80 cents beef cattle to $ 67.40 for each hundred pounds and dropped 90 cents calves to $ 90.20 .",hogs rose
96,compares that with 3.5 % butterfat for whole milk .,that compares
225,"in addition to the usual array of defenses , including a so-called poison pill and a staggered board , has another takeover defense : a maine state law barring hostile bidders from merging acquired businesses for five years nekoosa .",nekoosa has
