,input,output
343,september was the 10th consecutive month in which steel exports failed to reach the year-earlier level .,september was
18,he has good control .,he has
370,but survivors earn more .,survivors earn
237,analysts said the offer for great northern nekoosa broke the pall that settled over the takeover business for the past three weeks in the wake of the collapsed ual corp . buy-out .,analysts said
304,one reason for his gloom is a weekly tally he keeps of stocks within a point of hitting new highs or lows .,he keeps
103,she now lives with relatives in alabama .,she lives
147,"in the first nine months , profit rose 10 % to $ 313.2 million , or $ 3.89 a share , from $ 283.9 million , or $ 3.53 a share .",profit rose
419,"in doing so , he neither rejected a socialist planned economy nor embraced the free market .",he rejected
126,"in compact and subcompact cars , the bread-and-butter sales generators for japanese auto makers , nissan still trails toyota and honda .",nissan trails
259,"in an interview , he said federal regulators eventually declared one of the loans the state regulator cited to be a total loss , and forced lincoln to make an $ 18 million downward adjustment on another .",he said
357,it was supposed to be a routine courtesy call .,it supposed
335,jaguar ended 22 higher at 747 .,jaguar ended
395,"seats are currently quoted at $ 151,000 , bid , and $ 162,000 , asked .",seats quoted
159,he pampers them ; he invites them to fabulous parties ; he strokes them .,he pampers
270,"unocal said the venture would enable it to recover more of its refining and marketing investment and prepare for expected growth in exploration , production , chemicals and other areas .",unocal said
380,it also saves money .,it saves
393,it is in the western interest to see mr. gorbachev succeed .,it is
202,"of course , self-reform is about the last thing this congress is interested in .",self-reform is
64,mips also wants to wedge into markets other than traditional risc applications such as engineering ; mips said the new machine will also be used by businesses and for communications .,mips wants
445,"we do not know whether ru-486 will be as disastrous as some of the earlier fertility-control methods released to unblinking , uncritical cheers from educated people who should have known better .",we know
399,he could rule as early as today on the motion seeking a temporary injunction against the dow jones offer .,he rule
132,"toyota wants to sell about 49,000 lexus ls400 sedans next year in the u.s. alone .",toyota wants
266,"in fact , ltv was the first steelmaker to publicly boost discounts for buyers of cold rolled sheet steel and hot-dipped galvanized sheet steel .",ltv was
135,"the big reason : for all its cost-cutting , nissan remains less efficient than toyota .",nissan remains
412,at the time merchants were asking for premiums of about five cents a pound .,merchants asking
112,"earlier this year , venezuela announced it was opening up debt-equity swaps to foreign investors but said the program would be limited to a net disbursement of $ 600 million a year .",venezuela announced
447,"it does not relieve the need for our market-opening efforts for both goods and services , but it does suggest that it is our exports of services , and not just borrowing , that is financing our imports of goods .",it relieve
