,input,output
90,analysts say the company also could easily issue new convertible bonds or warrants .,analysts say
254,that nets out to about $ 17 a share for the company on a private market basis .,that nets
283,armstrong added 1/8 to 39 1/8 .,armstrong added
445,"we do not know whether ru-486 will be as disastrous as some of the earlier fertility-control methods released to unblinking , uncritical cheers from educated people who should have known better .",we know
461,"in dallas , ltv said that it was disappointed that the court agreed to hear the case because it believes the move will further delay its chapter 11 proceedings .",ltv said
15,he no longer crowds the plate .,he crowds
316,"although it is not the first company to produce the thinner drives , which store information in personal computers , miniscribe says it is the first with an 80-megabyte drive ; the company plans to introduce a 120-megabyte drive next year .",miniscribe says
489,it was an audacious claim .,it was
159,he pampers them ; he invites them to fabulous parties ; he strokes them .,he pampers
153,hugo felled vast timberlands .,hugo felled
241,"for all of 1988 , bouygues had consolidated profit of 519 million francs , after payments to minority interests , on revenue of 50 billion francs .",bouygues had
250,gen-probe was another active takeover stock .,gen-probe was
390,he notes that most of the net sales drop stemmed from a three-day period following the friday the 13th plunge .,he notes
289,revenue rose 33 % to $ 378.1 million from $ 283.8 million .,revenue rose
171,researchers can apply for permission to use the probes for brain studies .,researchers apply
329,"volume was only 256.6 million shares , breaking the previous 1989 low of 276.8 million shares recorded oct. 23 .",volume was
468,"unemployment still is officially recorded at 16.5 % , the highest rate in europe , although actual joblessness may be lower .",unemployment recorded
355,"in 1988 , chugai had net income of $ 60 million on revenue of $ 991 million .",chugai had
154,"that may leave a lot of leeway for u.s. bankruptcy judge burton r. lifland to decide what , if anything , the pilots actually collect .",that leave
37,"feeling the naggings of a culture imperative , i promptly signed up .",i signed
205,officials proposed a cut in the defense budget this year to 70.9 billion rubles ( us$ 114.3 billion ) from 77.3 billion rubles ( us$ 125 billion ) as well as large cuts in outlays for new factories and equipment .,officials proposed
366,"we did experience some difficulties with the initial lbo terms and , as your article made clear , successfully restructured our debt earlier this year , something those other retailers have yet to accomplish .",we experience
240,revenue rose 21 % to 22.61 billion francs from 18.69 billion francs .,revenue rose
108,it said the situation is caused by efforts to streamline bloated factory payrolls .,it said
45,"it raised financing of 300 billion lire for the purchase this summer by another agnelli-related group of the food concern galbani s.p . a. , by selling a chunk of its ifi shares to mediobanca s.p . a.",it raised
438,"but it could also help american companies , which also are starting to try to open the market .",it help
21,it also reported a 2.6 % decline in its raw-materials price index for september .,it reported
367,"they claim to have busted spirits , poltergeists and other spooks in hundreds of houses around the country .",they claim
96,seagram says the promotion is designed to build brand loyalty rather than promote heavy drinking .,seagram says
233,it rose 4.8 % for the 12 months ended in june and 4.7 % in the 12 months ended in september 1988 .,it rose
428,but interest waned as the day wore on and investors looked ahead to the release later this week of two important economic reports .,interest waned
118,"in recent years , nissan has instituted flex-time work schedules and allowed employees to dress casually , even in blue jeans .",nissan instituted
124,nissan helped develop a tokyo restaurant with both vehicles as its design theme .,nissan helped
191,"the only permanent losers will be the 200,000 or so workers everyone agrees will be priced out of a job at the $ 4.25 rate congress is likely to approve today .",everyone agrees
374,students shun burger flipping for jobs tied to careers .,students shun
492,"still , caution is advisable .",caution is
311,but this is almost an underground activity .,this is
451,"he was sentenced to 500 hours of community service and restitution to the museum of $ 45,000 .",he sentenced
353,he added that until now the japanese have only acquired equity positions in u.s. biotechnology companies .,he added
238,that indicates speculators are betting a higher offer is in the wings .,that indicates
322,"it currently costs $ 750 , though mr. sinyard thinks the price can be reduced within three years to between $ 200 and $ 250 .",it costs
46,"and it treats such activities in a frivolous , cavalier fashion , with total indifference to common sense and public safety .",it treats
403,"lights flickered on and off ; plaster dropped from the ceiling , the walls still shook and an evacuation alarm blared outside .",lights flickered
221,"based on 1988 sales , georgia-pacific ranked third at $ 9.51 billion , behind weyerhaeuser co. at $ 10 billion and international paper co. at $ 9.53 billion .",georgia-pacific ranked
76,"mason is the largest toxicology lab in new england , with annual revenue of $ 8 million and 140 employees .",mason is
1,"it felt more like a party , or a highly polished jam session with a few friends , than a classical concert .",it felt
213,it is expected to report next summer .,it expected
325,emc manufactures data-storage systems for mainframes and minicomputers .,emc manufactures
418,"most important , this would leave the party intact and its monopoly of political power largely undisturbed .",this leave
102,he reset opening arguments for today .,he reset
363,institutions had become active market players in the early 1970s and sought exchange seats to handle their own trades .,institutions become
170,"using small electrical shocks applied to her feet , they were able to monitor sensory nerves .",they were
343,september was the 10th consecutive month in which steel exports failed to reach the year-earlier level .,september was
144,"if you have not , it is probable that a thorough airing of the dispute by calm and rational debate would have been the better course .",it is
132,"toyota wants to sell about 49,000 lexus ls400 sedans next year in the u.s. alone .",toyota wants
12,"midmorning , he dons an orange-and-blue uniform and , for fun , may field a bunt from dave kingman .",he dons
327,"he said he believes the bank loan , to be arranged by february , will supply about half of the financing .",he said
