,input,output
60,Collapses under its own meager weight.,negative
1123,...the whole thing succeeded only in making me groggy.,negative
626,more precious than perspicacious,positive
1053,Rarely does such high-profile talent serve such literate material.,positive
278,"The gags, and the script, are a mixed bag.",negative
513,The closest thing to the experience of space travel,positive
1160,"Nothing happens, and it happens to flat characters.",negative
461,Many insightful moments.,positive
781,"A refreshingly realistic, affectation-free coming-of-age tale.",positive
801,Tiresomely derivative and hammily acted.,negative
239,``Birthday Girl'' is an actor's movie first and foremost.,positive
615,A certain sexiness underlines even the dullest tangents.,positive
591,Fairly run-of-the-mill.,negative
938,A slight but sweet film.,positive
679,Has the capability of effecting change and inspiring hope.,positive
794,The film desperately sinks further and further into comedy futility.,negative
994,More intellectually scary than dramatically involving.,negative
1120,A harrowing account of a psychological breakdown.,positive
148,A very charming and funny movie.,positive
1022,Definitely worth 95 minutes of your time.,positive
20,An enjoyable experience.,positive
191,"``Sorority Boys'' was funnier, and that movie was pretty bad.",negative
509,A noble failure.,negative
9,Intelligent and moving.,positive
925,"Reassuring, retro uplifter.",positive
1092,A cockeyed shot all the way.,negative
545,Parents beware; this is downright movie penance.,negative
698,A gentle and engrossing character study.,positive
625,Unwieldy contraption.,negative
31,A rote exercise in both animation and storytelling.,negative
1061,Duvall is strong as always.,positive
566,Like the chilled breath of oral storytelling frozen onto film.,positive
301,"The movie is amateurish, but it's a minor treat.",positive
140,I liked this film a lot...,positive
1107,Reggio and Glass put on an intoxicating show.,positive
322,Smarter than its commercials make it seem.,positive
563,Generates an enormous feeling of empathy for its characters.,positive
1052,"Shallow, noisy and pretentious.",negative
1009,A sub-formulaic slap in the face to seasonal cheer.,negative
374,Glazed with a tawdry B-movie scum.,negative
650,"Stale, futile scenario.",negative
1075,A very capable nailbiter.,positive
210,A film that loses sight of its own story.,negative
142,A haunting tale of murder and mayhem.,positive
778,Nothing about this movie works.,negative
495,Jackson is always watchable.,positive
1038,A tremendous piece of work.,positive
780,"An ugly, revolting movie.",negative
782,"A perceptive, good-natured movie.",positive
92,Final verdict: You've seen it all before.,negative
444,The problem with all of this: It's not really funny.,negative
1058,Rifkin's references are ... impeccable throughout.,positive
667,A solidly entertaining little film.,positive
291,Alternately frustrating and rewarding.,positive
711,Bad and baffling from the get-go.,negative
1011,A sentimental mess that never rings true.,negative
472,A bodice-ripper for intellectuals.,positive
932,A well-executed spy-thriller.,positive
692,Bland but harmless.,negative
259,"An enthralling, entertaining feature.",positive
183,"A banal, virulently unpleasant excuse for a romantic comedy.",negative
950,What an embarrassment.,negative
465,A gripping drama.,positive
381,A three-hour cinema master class.,positive
447,"Charming and witty, it's also somewhat clumsy.",positive
890,"An empty, purposeless exercise.",negative
787,Takes a simple premise and carries it to unexpected heights.,positive
173,Tends to plod.,negative
345,...a pretentious mess...,negative
196,Abysmally pathetic,negative
1122,Exceptionally well acted by Diane Lane and Richard Gere.,positive
853,Shallow.,negative
268,A film that suffers because of its many excesses.,negative
502,His work transcends the boy-meets-girl posturing of typical love stories.,positive
216,Griffin & Co. manage to be spectacularly outrageous.,positive
41,"entertaining enough, but nothing new",negative
750,Get out your pooper-scoopers.,negative
736,There is no denying the power of Polanski's film...,positive
959,"Hollywood Ending is not show-stoppingly hilarious, but scathingly witty nonetheless.",positive
442,... manages to deliver a fair bit of vampire fun.,positive
40,The cast delivers without sham the raw-nerved story.,positive
530,Family fare.,positive
1143,What a stiflingly unfunny and unoriginal mess this is!,negative
611,Speaks eloquently about the symbiotic relationship between art and life.,positive
2,Very well-written and very well-acted.,positive
296,Funny and also heartwarming without stooping to gooeyness.,positive
234,Your children will be occupied for 72 minutes.,positive
889,Beautiful to watch and holds a certain charm.,positive
280,A small movie with a big heart.,positive
902,This u-boat doesn't have a captain.,negative
90,A fairly harmless but ultimately lifeless feature-length afterschool special.,negative
85,Exciting documentary.,positive
1097,Rashomon-for-dipsticks tale.,negative
98,Neatly constructed thriller.,positive
956,One funny popcorn flick.,positive
203,"I liked it because it was so endlessly, grotesquely, inventive.",positive
134,Meticulously uncovers a trail of outrageous force and craven concealment.,positive
69,Mordantly funny and intimately knowing ...,positive
981,"It's never laugh-out-loud funny, but it is frequently amusing.",positive
825,Decent but dull.,negative
