,input,output
215,Not so much farcical as sour.,negative
597,Nearly every attempt at humor here is DOA.,negative
1136,"This is a stunning film, a one-of-a-kind tour de force.",positive
495,Jackson is always watchable.,positive
772,An hour and a half of joyful solo performance.,positive
64,Hoffman's performance is authentic to the core of his being.,positive
208,Ararat feels like a book report,negative
1030,Intriguing and downright intoxicating.,positive
670,Even better than the first one!,positive
276,Very predictable but still entertaining,positive
931,... a confusing drudgery.,negative
226,I couldn't recommend this film more.,positive
680,Top-notch action powers this romantic drama.,positive
599,Chaiken ably balances real-time rhythms with propulsive incident.,positive
1074,A well-put-together piece of urban satire.,positive
295,Runs on the pure adrenalin of Pacino's performance.,positive
852,Jeffrey Tambor's performance as the intelligent jazz-playing exterminator is Oscar-worthy.,positive
531,A gem of a movie.,positive
54,Delivers roughly equal amounts of beautiful movement and inside information.,positive
966,Delirious fun.,positive
1047,Beautifully directed and convincingly acted.,positive
475,A captivating and intimate study about dying and loving...,positive
130,A manically generous Christmas vaudeville.,positive
626,more precious than perspicacious,positive
254,Interesting and thoroughly unfaithful version of Carmen,positive
669,The plot's contrivances are uncomfortably strained.,negative
866,A smart little indie.,positive
926,"A wonderful, ghastly film.",positive
797,"Invigorating, surreal, and resonant with a rainbow of emotion.",positive
734,"Sly, sophisticated and surprising.",positive
1056,Plays like a glossy melodrama that occasionally verges on camp.,negative
141,"Complex, sinuously plotted and, somehow, off-puttingly cold.",negative
782,"A perceptive, good-natured movie.",positive
1020,An Asian neo-realist treasure.,positive
872,delightfully rendered,positive
572,Pompous and garbled.,negative
235,Snipes is both a snore and utter tripe.,negative
943,It's always fascinating to watch Marker the essayist at work.,positive
333,"It's a talking head documentary, but a great one.",positive
853,Shallow.,negative
168,Compellingly watchable.,positive
906,About as big a crowdpleaser as they possibly come.,positive
527,It trusts the story it sets out to tell.,positive
352,This thing is just garbage.,negative
3,Disney again ransacks its archives for a quick-buck sequel.,negative
354,Utter mush... conceited pap.,negative
1166,The entire movie is in need of a scented bath.,negative
406,Aan opportunity wasted.,negative
214,Troubling and powerful.,positive
501,"A finely tuned mood piece, a model of menacing atmosphere.",positive
959,"Hollywood Ending is not show-stoppingly hilarious, but scathingly witty nonetheless.",positive
563,Generates an enormous feeling of empathy for its characters.,positive
890,"An empty, purposeless exercise.",negative
778,Nothing about this movie works.,negative
26,Comes across as a fairly weak retooling.,negative
397,I haven't seen such self-amused trash since Freddy Got Fingered.,negative
421,A backstage must-see for true fans of comedy.,positive
912,It's a rare window on an artistic collaboration.,positive
379,"This is a finely written, superbly acted offbeat thriller.",positive
270,A true-blue delight.,positive
178,"Flat, misguided comedy.",negative
727,"Meyjes's movie, like Max Rothman's future, does not work.",negative
172,The film is full of charm.,positive
715,"Good, solid storytelling.",positive
145,This is a superior horror flick.,positive
373,"Polished, well-structured film.",positive
624,This 10th film in the series looks and feels tired.,negative
1027,An intimate contemplation of two marvelously messy lives.,positive
537,A characteristically engorged and sloppy coming-of-age movie.,negative
693,Phoned-in business as usual.,negative
1008,Audacious-impossible yet compelling...,positive
426,The movie is as padded as Allen's jelly belly.,negative
1041,"...a bland, pretentious mess.",negative
1069,"Like Brosnan's performance, Evelyn comes from the heart.",positive
793,Something must have been lost in the translation.,negative
1049,Cho's timing is priceless.,positive
654,Its engaging simplicity is driven by appealing leads.,positive
814,As steamy as last week's pork dumplings.,negative
89,"This is a dark, gritty, sometimes funny little gem.",positive
802,"Fast-paced and wonderfully edited, the film is extremely thorough.",positive
957,Never comes together as a coherent whole.,negative
809,This strenuously unfunny Showtime deserves the hook.,negative
587,...a bland murder-on-campus yawner.,negative
267,Its director's most substantial feature for some time.,positive
953,One of the funnier movies in town.,positive
833,A film of ideas and wry comic mayhem.,positive
144,...quite good at providing some good old fashioned spooks.,positive
108,"Too much power, not enough puff.",negative
554,The movie doesn't add anything fresh to the myth.,negative
875,A weird and wonderful comedy.,positive
896,"...the story is far-flung, illogical, and plain stupid.",negative
1101,Exciting and well-paced.,positive
1154,"Definitely a crowd-pleaser, but then, so was the Roman Colosseum.",positive
391,Too bland and fustily tasteful to be truly prurient.,negative
384,There's lots of cool stuff packed into ESPN's Ultimate X.,positive
656,Lame Sweet Home leaves no Southern stereotype unturned.,negative
87,A modestly surprising movie.,positive
570,an original and highly cerebral examination of the psychopathic mind,positive
559,"Cold, nervy and memorable.",positive
66,"Best indie of the year, so far.",positive
