,input,output
903,Obvious.,negative
1064,I liked a lot of the smaller scenes.,positive
597,Nearly every attempt at humor here is DOA.,negative
329,Competently directed but terminally cute drama.,positive
426,The movie is as padded as Allen's jelly belly.,negative
264,"An even more predictable, cliche-ridden endeavor than its predecessor.",negative
968,Nicole Kidman makes it a party worth attending.,positive
558,Just too silly and sophomoric to ensnare its target audience.,negative
493,Deliciously slow.,positive
1025,One lousy movie.,negative
1092,A cockeyed shot all the way.,negative
689,Allen's underestimated charm delivers more goodies than lumps of coal.,positive
296,Funny and also heartwarming without stooping to gooeyness.,positive
670,Even better than the first one!,positive
507,plays like some corny television production from a bygone era,negative
1075,A very capable nailbiter.,positive
902,This u-boat doesn't have a captain.,negative
143,Ya-Yas everywhere will forgive the flaws and love the film.,positive
964,"Sunk by way too much indulgence of scene-chewing, teeth-gnashing actorliness.",negative
9,Intelligent and moving.,positive
15,This may be Burns's strongest film since The Brothers McMullen.,positive
565,It's a road-trip drama with too many wrong turns.,negative
6,Amazingly lame.,negative
1159,A real snooze.,negative
941,"This is a movie full of grace and, ultimately, hope.",positive
365,Thoroughly engrossing and ultimately tragic.,negative
502,His work transcends the boy-meets-girl posturing of typical love stories.,positive
1028,Offers absolutely nothing I hadn't already seen.,negative
749,"The entire cast is first-rate, especially Sorvino.",positive
619,A film without surprise geared toward maximum comfort and familiarity.,negative
784,Amazingly dopey.,positive
939,A waste of fearless purity in the acting craft.,negative
785,It's a satisfying summer blockbuster and worth a look.,positive
432,It's one long bore.,negative
933,An impenetrable and insufferable ball of pseudo-philosophic twaddle.,negative
786,"Overwrought, melodramatic bodice-ripper.",negative
53,...hokey art house pretension.,negative
475,A captivating and intimate study about dying and loving...,positive
459,"Tense, terrific, sweaty-palmed fun.",positive
1002,"A deftly entertaining film, smartly played and smartly directed.",positive
453,"The script is high on squaddie banter, low on shocks.",positive
490,Uneven but a lot of fun.,positive
677,"Too much of Nemesis has a tired, talky feel.",negative
713,Leaks treacle from every pore.,negative
641,A generic international version of a typical American horror film.,negative
252,Wise and deadpan humorous.,positive
856,The film is strictly routine.,negative
407,An awkwardly contrived exercise in magic realism.,negative
1141,Makes 98 minutes feel like three hours.,negative
1100,Knows how to make our imagination wonder.,positive
726,Sleek and arty.,positive
1013,A wildly entertaining scan of Evans' career.,positive
1006,Below is well below expectations.,negative
1108,Huppert and Girardot give performances of exceptional honesty.,positive
776,"Enjoyably fast-moving, hard-hitting documentary.",positive
781,"A refreshingly realistic, affectation-free coming-of-age tale.",positive
687,Tsai convincingly paints a specifically urban sense of disassociation here.,positive
662,"A vibrant, colorful, semimusical rendition.",positive
1077,"As the dominant Christine, Sylvie Testud is icily brilliant.",positive
364,What makes it worth watching is Quaid's performance.,positive
414,Long on twinkly-eyed close-ups and short on shame.,negative
187,Surprisingly insightful,positive
458,Caviezel embodies the transformation of his character completely.,positive
536,"Cold, pretentious, thoroughly dislikable study in sociopathy.",negative
185,Almost peerlessly unsettling.,negative
284,A bland animated sequel that hardly seems worth the effort.,negative
753,"Kitschy, flashy, overlong soap opera.",negative
495,Jackson is always watchable.,positive
318,"A cultural wildcard experience: wacky, different, unusual, even nutty.",positive
531,A gem of a movie.,positive
673,"Gangster No. 1 is solid, satisfying fare for adults.",positive
462,"... very funny, very enjoyable ...",positive
863,"Its gentle, touching story creeps into your heart.",positive
1062,A bit too eager to please.,negative
487,Highly watchable stuff.,positive
35,Originality is sorely lacking.,negative
897,One of the worst movies of the year.,negative
403,"A loud, brash and mainly unfunny high school comedy.",negative
363,The writing is clever and the cast is appealing.,positive
1116,Psychologically savvy.,positive
241,A gangster movie with the capacity to surprise.,positive
694,A low-rent retread of the Alien pictures.,negative
568,It drowns in sap.,negative
504,...the plot weaves us into a complex web.,positive
616,"A thoroughly engaging, surprisingly touching British comedy.",positive
1018,"eventually arrives at its heart, as simple self-reflection meditation.",positive
1076,There's plenty to impress about E.T.,positive
352,This thing is just garbage.,negative
514,A tone poem of transgression.,positive
820,"Philosophically, intellectually and logistically a mess.",negative
50,Video games are more involving than this mess.,negative
160,Allen's funniest and most likeable movie in years.,positive
738,"Priggish, lethargically paced parable of renewal.",negative
773,A listless and desultory affair.,negative
570,an original and highly cerebral examination of the psychopathic mind,positive
232,"...an hour-and-a-half of inoffensive, unmemorable filler.",negative
994,More intellectually scary than dramatically involving.,negative
270,A true-blue delight.,positive
76,"Laughably, irredeemably awful.",negative
1024,An amused indictment of Jaglom's own profession.,positive
